"yield [thousands of bushels],""price [$/bushel]"""
213.45,4.418
247.56,6.063
212.81,6.224
250.25,7.117
255.31,7.632
264.79,1.093
256.31,4.13
220.02,7.918
251.72,7.918
245.41,2.897
249.55,6.593
273.29,4.812
225.35,4.745
247.31,4.74
250.56,5.941
255.87,6.411
222.91,6.43
259.77,4.954
252.4,9.767
254.28,4.261
245.24,5.14
245.36,7.939
256.64,8.32
255.26,7.299
243.56,6.173
259.78,6.594
264.43,6.768
259.25,8.69
269.9,7.344
233.48,6.886
261.62,7.993
258.92,7.673
229.22,8.04
264.03,6.448
227.16,11.983
261.81,7.579
246.89,5.074
231.08,4.94
248.62,6.294
209.88,11.108
241.22,6.057
270.76,6.669
220.65,6.4
240.73,4.447
247.17,5.18
253.81,3.759
251.89,5.586
244.41,8.307
251.63,7.247
258.71,6.985
227.18,7.811
268.45,9.464
260.55,3.652
233.9,8.188
226.98,9.731
237.46,5.599
259.4,7.553
226.02,7.582
235.57,5.427
245.94,6.934
255.84,6.827
253.28,7.445
224.91,7.388
266.26,6.919
237.28,8.451
247.18,7.897
262.1,8.826
230.67,5.137
253.07,3.233
225.16,7.919
237.28,8.639
246.74,8.846
241.95,5.731
256.74,5.389
250.38,2.8
234.69,5.361
224.35,5.651
228.53,7.95
245.01,5.578
257.21,6.477
257.6,4.516
249.64,6.518
220.22,8.136
221.31,4.296
237.07,4.442
245.68,5.958
233.91,6.685
242.2,7.544
245.79,5.555
242.14,4.52
222.87,6.164
272.84,7.884
254.94,5.749
248.87,4.079
236.11,8.412
213.0,11.042
252.53,9.363
254.09,5.264
257.26,6.686
252.64,5.257
226.24,7.195
278.86,9.299
231.78,6.438
269.31,6.616
254.86,5.353
227.64,9.031
270.53,5.721
238.52,4.663
246.02,5.304
270.26,3.832
234.58,7.248
255.23,3.99
230.92,6.525
243.41,5.819
250.39,8.294
242.42,9.687
214.74,7.27
243.02,9.901
246.87,10.438
224.58,4.899
260.29,8.088
261.59,3.091
244.73,7.568
233.87,4.98
250.11,2.214
252.0,7.621
240.69,6.35
272.24,2.209
248.45,5.884
270.26,5.254
244.81,4.709
258.61,6.502
243.48,6.531
240.89,8.763
258.39,8.659
254.98,6.877
252.88,6.408
220.1,5.157
244.32,7.886
253.1,7.272
258.3,3.445
229.97,6.259
234.37,5.226
232.01,9.252
240.93,7.264
252.65,3.851
260.36,6.12
252.67,5.477
252.33,10.047
265.09,5.99
260.92,7.051
229.98,6.275
252.65,5.555
255.91,6.369
263.94,8.398
242.0,7.139
257.03,9.784
243.55,6.753
249.31,5.919
267.62,6.084
227.9,5.806
229.4,5.274
234.1,8.005
250.01,4.893
264.91,11.901
243.81,6.775
265.86,4.119
247.51,8.608
251.49,6.908
260.94,6.341
261.58,2.287
208.59,7.395
220.4,4.706
221.07,3.3
241.03,9.606
247.22,5.763
213.84,2.818
209.88,8.357
230.23,5.397
243.74,7.334
240.82,6.909
240.17,5.566
240.31,7.446
256.01,5.545
247.5,6.14
241.19,7.874
238.3,7.912
249.74,6.962
254.51,8.978
204.21,3.156
240.49,9.257
254.61,4.903
243.19,4.121
226.04,7.136
263.82,4.914
232.62,3.786
257.83,9.596
239.56,5.493
237.25,7.32
254.63,6.638
233.63,3.107
215.61,7.223
270.75,5.429
255.46,4.645
232.31,7.082
255.57,6.399
256.37,7.041
244.26,8.546
257.72,5.98
236.53,3.185
258.31,4.872
261.47,6.17
222.31,7.705
255.87,7.843
253.02,7.896
263.87,5.741
263.51,8.099
237.77,6.807
262.19,5.54
253.4,4.268
260.31,5.795
250.51,7.262
242.12,8.586
263.13,4.424
244.98,6.827
244.5,5.892
254.1,7.839
257.47,10.729
257.16,5.879
222.46,6.839
205.6,1.566
235.36,5.66
235.6,5.703
254.42,8.748
250.65,5.996
241.51,1.81
271.13,5.694
261.7,7.226
250.02,8.703
257.06,5.684
239.58,8.998
230.41,5.676
243.29,9.051
234.14,7.724
253.24,4.884
262.4,5.336
249.81,8.754
246.17,6.897
253.33,8.214
247.36,10.62
232.97,7.94
257.32,6.053
241.74,8.192
267.71,5.205
243.17,8.237
244.29,7.492
259.17,4.233
242.26,8.022
253.79,7.667
257.1,8.487
233.55,3.972
229.43,7.522
253.13,5.819
245.56,4.469
240.22,6.691
220.57,7.052
263.29,4.623
269.51,9.142
