,0
0,1141943.2356
1,2118467.7956000003
2,1108962.0755999999
3,2910827.8756
4,1486985.2756000003
5,1474230.4656
6,1322441.9156000002
7,1724659.3556
8,1491898.5555999998
9,2140447.2756
10,2375034.5756
11,1439061.4456
12,1202189.9956
13,1364591.6756000002
14,1698276.1756000002
15,1318980.4756
16,1343147.9756
17,2789726.1856000004
18,2067891.1556000002
19,1316747.4056
20,1860392.6755999997
21,1874141.3555999997
22,1965723.8756
23,1357847.9156000002
24,1273598.4355999997
25,1330981.4356000002
26,2542135.7155999998
27,1417960.8856000002
28,3042975.4756
29,1320126.5556
30,1387044.1156000001
31,1779115.1156000004
32,1806058.4356
33,1327841.6055999997
34,1989955.0756
35,1351087.0156
36,1283849.9156
37,1247922.3856
38,1299897.7756
39,1213614.3956000002
40,1393713.3056
41,1386881.3956
42,1337806.5155999998
43,2065547.2656
44,1370329.5956000001
45,1313652.2156
46,1313133.6756000002
47,1296473.8856
48,1309361.7156
49,1371688.4755999998
50,1777514.2156
51,2494162.7756
52,1382486.1356000002
53,2077482.4756
54,2244517.9156
55,1304047.9256000002
56,1327914.1156000001
57,1208564.4756
58,1247152.4655999998
59,1988222.0756000006
60,1709912.0555999998
61,1314468.3156
62,2471767.5056000003
63,1322425.0555999998
64,1287722.8256
65,1493940.0156
66,1935420.3956
67,1194179.7656000003
68,1314170.1556
69,1384789.1156000001
70,1296772.4156
71,1271510.3155999999
72,1272396.8256
73,1459792.8155999999
74,1307301.7555999998
75,1389422.6156000001
76,1177879.5956000003
77,1215381.4656
78,1285647.7156000002
79,1496086.5155999998
80,2537801.9856000002
81,1285705.5555999998
82,1266584.9656
83,1154602.0756
84,1265369.9956000003
85,1678312.4156
86,2181602.3956000004
87,1288769.0056000003
88,2252258.915600001
89,1275626.7156
90,1164679.1356
91,1925947.2356000002
92,2810977.1156000006
93,2092835.4756
94,1360626.8556
95,2257889.2756
96,1397517.4555999998
97,1316750.0156
98,1323436.6156000001
99,2973825.3055999996
100,1335196.4656
101,2511285.9956
102,1705872.3155999999
103,2509428.9656
104,1318981.9156
105,1849794.8155999999
106,1669153.1555999997
107,1230942.7156
108,1561287.9155999997
109,1377749.5156000003
110,1232090.8756
111,1340394.5155999998
112,1985433.5456000003
113,1361495.2756
114,1289258.8355999999
115,1732020.8355999999
116,1110569.7956
117,1264926.5956000001
118,2182912.7156
119,1173529.6356
120,2062020.2155999998
121,1359104.2155999998
122,1754426.0156
123,1273695.6056000001
124,2549226.3656
125,1309675.5656
126,1268636.5156000003
127,1556765.5956
128,2046233.8256
129,1360890.1156
130,1711614.4555999998
131,1645349.0956
132,1816783.2155999993
133,1593127.2256
134,1775532.4456
135,1403368.9456000002
136,1313217.1156000001
137,1266639.7356
138,1304792.9555999998
139,1641084.3656000001
140,1320475.2855999998
141,2085554.4356
142,1375138.6556
143,2805741.4156
144,2050005.8756000004
145,1339904.0756
146,1587434.1956000002
147,1577427.0355999998
148,1392466.5956
149,1324272.2655999998
150,1880332.3155999996
151,1485574.0856
152,1359175.5356
153,1322180.5356
154,1472640.0755999999
155,1766534.2556000003
156,2817230.7156000007
157,1322966.5555999998
158,1507428.3956
159,1390830.6355999997
160,1267355.0356
161,1203970.4656
162,1684357.0556
163,1398167.8856
164,1742589.4356000004
165,1269882.7156
166,1355443.9156000002
167,1300424.3656000001
168,1308903.0656
169,2157603.1256000004
170,1352259.2156
171,1442175.5956000001
172,1226376.7156
173,1225245.3556000001
174,2248751.6756
175,1296723.0956
176,1170916.6156000001
177,1089507.1756
178,1405510.6256
179,1481014.7455999998
180,2368172.1756
181,1248105.4356
182,1249533.0156
183,2055915.2156000002
184,1287687.2955999998
185,2212744.4156
186,1799094.7155999998
187,2196983.2456000005
188,1576049.6356
189,1391354.1456
190,1263082.7156
191,1507030.5956
192,1911379.0856
193,1184882.0656
194,1370938.4156
195,1219657.8355999999
196,1680546.0155999998
197,1248023.8856000002
198,1776841.7556
199,1316751.8956
200,1212749.9956
201,1128940.9656
202,1407800.9955999998
203,1518888.6356
204,1237229.1256000001
205,1322507.3656000001
206,1330110.1056000001
207,2328840.0956000006
208,1835238.3555999994
209,1317517.2156000002
210,2791681.1456000004
211,1455782.5355999996
212,1294804.2256000002
213,1325114.6056
214,1309312.3556
215,1349097.8756
216,1328238.9656
217,1264913.1056
218,1360726.4156
219,1313042.2156
220,1894521.9856000005
221,1302316.5556
222,2260058.7656
223,1334633.9756000002
224,2482668.2156
225,1297868.9955999998
226,2819453.0156000005
227,1318753.7555999998
228,1342013.8856000002
229,1376650.7156
230,1570978.3756000001
231,1218964.1356000002
232,1285641.4156
233,2125992.2256
234,1310092.7056000002
235,1263319.0956
236,1396838.3156
237,1349019.4755999998
238,1386104.9156
239,1322902.2855999998
240,1281479.0355999998
241,1179072.0756
242,3059821.1156
243,1256432.5156
244,1315798.7455999998
245,1352601.6056
246,1303098.2955999998
247,1415847.3456000003
248,1307421.8255999999
249,2210781.0356000005
250,1262279.5456000003
251,1583337.8155999999
252,2334168.7356000002
253,1346519.2156
254,2241527.9756
255,2165827.6156
256,1321498.0656
257,1461572.7955999998
258,2958566.8756000004
259,1790052.0056
260,1255289.5156
261,1351797.2356
262,1310042.7256
263,1284788.5956000003
264,1849470.2755999994
265,1609171.8256
266,1361389.2156
267,3583172.055600001
268,1315000.7956
269,1299044.9356
270,1437785.1756000002
271,1226064.3855999997
272,1170001.0156000003
273,1194907.6156
274,1309025.7956
275,1373936.7156
276,2929225.1456000004
277,1151264.9156
278,1361560.0956000001
279,1591653.1156
280,2393582.7156
281,2042302.5956000001
282,1599030.0956
283,1218243.4156
284,2237325.2356000002
285,1222975.8355999999
286,3014191.1756
287,1304046.3956000002
288,1300043.2356000002
289,2722329.0956
290,1461253.8955999997
291,1344862.7156000002
292,1656771.0655999999
293,1312749.7056000002
294,1198991.9156
295,1261981.6856
296,1357681.4356
297,1327380.6756000002
298,1346889.8756000001
299,1440098.7156
300,1319550.0056
301,1322256.4755999998
302,1206488.2156
303,1633786.8956
304,1365992.2156
305,2766308.0956
306,1669867.6556
307,1326668.3156000003
308,1615721.6755999997
309,1412655.8355999999
310,1289148.5356
311,1169722.3556
312,1312892.5156
313,1266493.0556000003
314,2097880.6556
315,2092123.7656
316,1701916.4756000002
317,1206857.4956000003
318,1278323.5156
319,2365525.1156
320,1339397.7556
321,2089770.0556
322,1390605.4556
323,2021489.2555999998
324,1251688.7156
325,2000275.7356000007
326,1317043.6356000002
327,1779695.0656
328,1298120.1556
329,1294365.1956000002
330,1517200.6156000001
331,2359505.9056
332,1261823.3155999999
333,1315488.7456000003
334,1889478.8256000003
335,1256038.1156
336,1399300.5956000001
337,1330791.5155999998
338,1351477.7156
339,1256060.4756
340,1593168.0756
341,1906346.5255999996
342,1329052.9556
343,1314241.3456
344,1267573.5056
345,1303610.2355999998
346,3121790.1956
347,1279556.0355999998
348,2544646.6556
349,1276573.1156000001
350,1348036.5555999998
351,2605070.1956
352,1260682.6656
353,1191604.6356000002
354,1319889.4656
355,1307710.5756
356,2461064.7156
357,1910613.5156000003
358,1392716.4556
359,2210404.4356
360,2041151.0756000006
361,1183083.4655999998
362,1302830.1056
363,1540499.7255999998
364,2239392.3156000003
365,1314246.3556000001
366,1223345.6756
367,1298300.8756
368,2792138.3156000003
369,1599201.8756000001
