,yield [thousands of bushels],price [$/bushel],total
0,213.45,4.418,943022.1
1,247.56,6.063,1500956.2799999998
2,212.81,6.224,1324529.44
3,250.25,7.117,1781029.25
4,255.31,7.632,1948525.92
5,264.79,1.093,289415.47000000003
6,256.31,4.13,1058560.2999999998
7,220.02,7.918,1742118.36
8,251.72,7.918,1993118.96
9,245.41,2.897,710952.77
10,249.55,6.593,1645283.15
11,273.29,4.812,1315071.48
12,225.35,4.745,1069285.75
13,247.31,4.74,1172249.4000000001
14,250.56,5.941,1488576.96
15,255.87,6.411,1640382.57
16,222.91,6.43,1433311.2999999998
17,259.77,4.954,1286900.5799999998
18,252.4,9.767,2465190.8
19,254.28,4.261,1083487.08
20,245.24,5.14,1260533.6
21,245.36,7.939,1947913.04
22,256.64,8.32,2135244.8
23,255.26,7.299,1863142.74
24,243.56,6.173,1503495.88
25,259.78,6.594,1712989.3199999998
26,264.43,6.768,1789662.24
27,259.25,8.69,2252882.4999999995
28,269.9,7.344,1982145.5999999999
29,233.48,6.886,1607743.28
30,261.62,7.993,2091128.6600000004
31,258.92,7.673,1986693.1600000001
32,229.22,8.04,1842928.7999999996
33,264.03,6.448,1702465.44
34,227.16,11.983,2722058.2800000003
35,261.81,7.579,1984257.9899999998
36,246.89,5.074,1252719.8599999999
37,231.08,4.94,1141535.2000000002
38,248.62,6.294,1564814.2799999998
39,209.88,11.108,2331347.04
40,241.22,6.057,1461069.5400000003
41,270.76,6.669,1805698.44
42,220.65,6.4,1412160.0
43,240.73,4.447,1070526.31
44,247.17,5.18,1280340.5999999999
45,253.81,3.759,954071.7899999999
46,251.89,5.586,1407057.54
47,244.41,8.307,2030313.87
48,251.63,7.247,1823562.6099999999
49,258.71,6.985,1807089.3499999999
50,227.18,7.811,1774502.98
51,268.45,9.464,2540610.8
52,260.55,3.652,951528.6000000001
53,233.9,8.188,1915173.2000000002
54,226.98,9.731,2208742.38
55,237.46,5.599,1329538.54
56,259.4,7.553,1959248.1999999997
