256.0 136.0 332.0 622.0 1221.0 180.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1560676.42460000051
221.0 11.0 243.0 1081.0 201.0 58.0 643.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1556933.7606000002
241.0 450.0 731.0 283.0 709.0 576.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1559959.13359999988
27.0 28.0 581.0 113.0 288.0 991.0 140.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558456.691
19.0 1.0 334.0 394.0 263.0 1251.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558751.369
242.0 675.0 655.0 374.0 83.0 1018.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1559326.6939
242.0 954.0 495.0 36.0 949.0 619.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558217.6302
553.0 483.0 98.0 873.0 126.0 412.0 457.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558323.0052999996
348.0 62.0 918.0 1234.0 338.0 45.0 427.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1556538.138
21.0 908.0 778.0 369.0 366.0 180.0 510.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558014.9791
964.0 51.0 869.0 226.0 248.0 1026.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558054.083
1056.0 532.0 0.0 235.0 971.0 612.0 108.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1556944.7539000004
159.0 558.0 186.0 1204.0 431.0 129.0 257.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1560168.32
856.0 54.0 36.0 1158.0 676.0 463.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558877.8365
565.0 391.0 252.0 22.0 1103.0 144.0 421.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ,1558420.9448999998
