,yield [thousands of bushels],price [$/bushel],total
0,212.74,4.138,880318.12
1,246.99,9.892,2443225.08
2,212.48,5.992,1273180.16
3,250.84,12.899,3235585.1599999997
4,254.08,6.977,1772716.1600000001
5,265.75,6.385,1696813.75
6,256.32,4.285,1098331.2000000002
7,220.32,9.302,2049416.64
8,251.42,7.112,1788099.0399999998
9,244.37,10.088,2465204.5599999996
10,250.98,10.757,2699791.86
11,275.07,5.419,1490604.3299999998
12,225.68,3.911,882634.4800000001
13,250.48,6.267,1569758.1600000001
14,250.81,8.066,2023033.4600000002
15,255.56,3.716,949660.9600000001
16,222.18,7.507,1667905.26
17,259.13,12.019,3114483.47
18,252.07,9.492,2392648.44
19,253.93,5.173,1313579.89
20,244.26,8.946,2185149.96
21,246.32,8.927,2198898.6399999997
22,256.12,8.943,2290481.1599999997
23,256.8,5.733,1472234.4000000001
24,241.82,5.766,1394334.1199999999
25,258.34,4.248,1097428.32
26,264.84,10.825,2866892.9999999995
27,258.43,6.299,1627850.57
28,271.46,12.406,3367732.76
29,232.36,6.864,1594919.04
30,259.8,5.911,1535677.8
31,257.04,8.185,2103872.4000000004
32,230.06,9.262,2130815.72
33,264.17,1.137,300361.29
34,225.32,10.273,2314712.36
35,263.71,3.93,1036380.3
36,246.72,3.985,983179.2
37,231.59,2.953,683885.27
38,246.02,1.933,475556.66000000003
39,210.52,7.204,1516586.08
40,242.17,6.907,1672668.19
41,271.88,4.151,1128573.88
42,221.38,7.51,1662563.7999999998
43,239.87,9.965,2390304.55
44,247.86,6.488,1608115.6800000002
45,254.05,3.47,881553.5000000001
46,253.63,2.872,728425.36
47,243.37,6.021,1465330.77
48,251.56,2.275,572299.0
49,258.08,5.832,1505122.5599999998
50,226.66,9.275,2102271.5
51,267.78,10.527,2818920.0599999996
52,260.74,5.763,1502644.62
53,232.28,10.342,2402239.76
54,227.45,11.296,2569275.1999999997
55,238.27,0.803,191330.81000000003
56,260.9,1.802,470141.8
57,226.16,6.221,1406941.36
58,234.95,3.481,817860.9499999998
59,246.56,9.381,2312979.3600000003
60,257.26,7.909,2034669.3399999999
61,252.64,1.24,313273.6
62,225.69,12.391,2796524.79
63,265.02,0.487,129064.74
64,237.27,6.333,1502630.9100000001
65,246.41,7.33,1806185.3
66,260.87,8.664,2260177.6799999997
67,229.75,5.503,1264314.2500000002
68,253.08,1.638,414545.04
69,226.4,7.551,1709546.4000000001
70,236.55,6.486,1534263.3
71,244.98,5.22,1278795.5999999999
72,243.87,5.513,1344455.31
73,259.19,6.59,1708062.0999999999
74,251.28,2.638,662876.6399999999
75,234.79,7.21,1692835.9000000001
76,225.52,4.709,1061973.6800000002
77,226.99,3.625,822838.75
78,243.95,2.844,693793.7999999999
79,256.46,6.93,1777267.7999999998
80,257.17,11.131,2862559.27
81,247.88,5.183,1284762.0399999998
82,219.37,1.425,312602.25
83,220.54,4.704,1037420.1599999999
84,236.82,2.844,673516.08
85,243.15,8.238,2003069.7
86,232.76,10.768,2506359.68
87,243.41,2.449,596111.09
88,245.08,10.515,2577016.2000000007
89,241.88,5.8,1402904.0
90,222.97,4.746,1058215.62
91,272.12,8.271,2250704.52
92,254.4,12.326,3135734.4000000004
93,248.06,9.746,2417592.76
94,235.79,6.986,1647228.94
95,213.16,12.116,2582646.5599999996
96,252.78,6.443,1628661.5399999998
97,254.07,0.79,200715.30000000002
98,257.37,2.67,687177.9
99,255.17,12.927,3298582.5899999994
100,226.95,7.225,1639713.75
101,277.88,10.206,2836043.28
102,231.2,8.783,2030629.5999999999
103,267.25,10.605,2834186.25
104,255.51,4.32,1103803.2
105,228.06,9.535,2174552.1
106,270.69,7.316,1980368.0399999998
107,236.45,4.624,1093344.7999999998
108,248.95,7.576,1886045.1999999997
109,270.8,3.853,1043392.4000000001
110,236.06,5.576,1316270.5599999998
111,257.08,5.385,1384375.7999999998
112,232.11,9.953,2310190.83
113,242.68,6.662,1616734.16
114,248.97,4.556,1134307.32
115,244.36,8.417,2056778.1199999999
116,214.37,5.364,1149880.68
117,243.71,4.588,1118141.48
118,247.5,10.132,2507670.0
119,226.22,5.206,1177701.32
120,258.03,9.25,2386777.4999999995
121,263.15,5.042,1326802.2999999998
122,245.1,8.483,2079183.3
123,233.19,6.471,1508972.4900000002
124,248.55,11.563,2873983.65
125,251.25,2.017,506771.24999999994
126,240.6,5.809,1397645.4000000001
127,271.31,6.688,1814521.28
128,247.21,9.591,2370991.11
129,269.9,2.942,794045.7999999999
130,244.14,8.341,2036371.7399999998
131,258.07,7.634,1970106.38
132,242.75,8.822,2141540.4999999995
133,240.91,7.961,1917884.51
134,258.37,8.129,2100289.73
135,255.77,6.319,1616210.6300000001
136,254.0,3.688,936752.0000000001
137,219.13,1.414,309849.81999999995
138,244.77,1.232,301556.64
139,255.47,7.695,1965841.6500000001
140,258.71,0.807,208778.97
141,229.03,10.524,2410311.7199999997
142,234.98,7.113,1671412.74
143,231.7,13.511,3130498.6999999997
144,241.78,9.822,2374763.16
145,253.96,5.706,1449095.7600000002
146,261.94,7.222,1891730.6800000002
147,252.48,7.534,1902184.3199999998
148,253.06,6.378,1614016.68
149,264.85,0.687,181951.95000000004
150,263.2,8.378,2205089.5999999996
151,230.41,7.857,1810331.37
152,252.22,6.111,1541316.42
153,253.53,5.414,1372611.42
154,262.32,6.543,1716359.76
155,243.23,8.598,2091291.5400000003
156,257.54,12.2,3141988.0000000005
157,242.79,6.336,1538317.44
158,249.04,7.297,1817244.88
159,268.26,5.172,1387440.7199999997
160,227.63,1.824,415197.12
161,228.61,4.275,977307.7500000001
