,yield [thousands of bushels],price [$/bushel],total,expected_income_options
0,213.45,4.418,943022.1,1275979.5601
1,247.56,6.063,1500956.2799999998,1418993.4400999998
2,212.81,6.224,1324529.44,1209996.3000999999
3,250.25,7.117,1781029.25,1538505.3101000001
4,255.31,7.632,1948525.92,1699107.9801
5,264.79,1.093,289415.47000000003,1535750.4301000002
6,256.31,4.13,1058560.2999999998,1470631.3601
7,220.02,7.918,1742118.36,1492700.4201000002
8,251.72,7.918,1993118.96,1743701.0201
9,245.41,2.897,710952.77,1461728.9301000002
10,249.55,6.593,1645283.15,1461885.9101
11,273.29,4.812,1315071.48,1539797.1401000004
12,225.35,4.745,1069285.75,1312416.3101000001
13,247.31,4.74,1172249.4000000001,1416753.4601000003
14,250.56,5.941,1488576.96,1433253.5201
15,255.87,6.411,1640382.57,1488019.3301000004
16,222.91,6.43,1433311.2999999998,1277104.3601
17,259.77,4.954,1286900.5799999998,1472618.8401000001
18,252.4,9.767,2465190.8,2215772.8601
19,254.28,4.261,1083487.08,1459572.4401
20,245.24,5.14,1260533.6,1398741.6601000002
21,245.36,7.939,1947913.04,1698495.1001000002
22,256.64,8.32,2135244.8,1885826.8601000002
23,255.26,7.299,1863142.74,1617342.8001
24,243.56,6.173,1503495.88,1399280.0400999999
25,259.78,6.594,1712989.3199999998,1529451.9800999998
26,264.43,6.768,1789662.24,1581747.5001
27,259.25,8.69,2252882.4999999995,2003464.5601000001
28,269.9,7.344,1982145.5999999999,1735535.6601
29,233.48,6.886,1607743.28,1383296.7401
30,261.62,7.993,2091128.6600000004,1841710.7201000005
31,258.92,7.673,1986693.1600000001,1737275.2201000003
32,229.22,8.04,1842928.7999999996,1593510.8600999997
33,264.03,6.448,1702465.44,1542617.1001
34,227.16,11.983,2722058.2800000003,2472640.3401000006
35,261.81,7.579,1984257.9899999998,1734840.0500999999
36,246.89,5.074,1252719.8599999999,1407368.5201
37,231.08,4.94,1141535.2000000002,1331099.2601000003
38,248.62,6.294,1564814.2799999998,1436120.1401
39,209.88,11.108,2331347.04,2081929.1001000004
40,241.22,6.057,1461069.5400000003,1380320.5001000005
41,270.76,6.669,1805698.44,1611653.6001000002
42,220.65,6.4,1412160.0,1262022.0601000001
43,240.73,4.447,1070526.31,1395517.4701000005
44,247.17,5.18,1280340.5999999999,1408584.6601
45,253.81,3.759,954071.7899999999,1468056.5501
46,251.89,5.586,1407057.54,1435336.6001000002
47,244.41,8.307,2030313.87,1780895.9301000002
48,251.63,7.247,1823562.6099999999,1578698.6701
49,258.71,6.985,1807089.3499999999,1568772.9101
50,227.18,7.811,1774502.98,1525085.0401
51,268.45,9.464,2540610.8,2291192.8601
52,260.55,3.652,951528.6000000001,1494906.2601000005
53,233.9,8.188,1915173.2000000002,1665755.2601000003
54,226.98,9.731,2208742.38,1959324.4401000005
55,237.46,5.599,1329538.54,1354756.1001
56,259.4,7.553,1959248.1999999997,1709830.2600999998
57,226.02,7.582,1713683.64,1464265.7001
58,235.57,5.427,1278438.39,1345154.7501000003
59,245.94,6.934,1705347.96,1474176.6201000002
60,255.84,6.827,1746619.68,1530439.0401
61,253.28,7.445,1885669.6,1637241.6601000002
62,224.91,7.388,1661635.08,1414233.1401000002
63,266.26,6.919,1842252.94,1613183.1001000002
64,237.28,8.451,2005253.28,1755835.3401000001
65,247.18,7.897,1951980.4600000002,1702562.5201000003
66,262.1,8.826,2313294.6,2063876.6601000007
67,230.67,5.137,1184951.7899999998,1323907.1501000002
68,253.07,3.233,818175.3099999999,1476652.2700999998
69,225.16,7.919,1783042.0399999998,1533624.1001
70,237.28,8.639,2049861.92,1800443.9801
71,246.74,8.846,2182662.04,1933244.1001000006
72,241.95,5.731,1386615.45,1380747.0101
73,256.74,5.389,1383571.86,1459754.0201
74,250.38,2.8,701064.0,1478486.0601
75,234.69,5.361,1258173.09,1341330.0501000003
76,224.35,5.651,1267801.8499999999,1280773.4101000002
77,228.53,7.95,1816813.5,1567395.5601000001
78,245.01,5.578,1366665.78,1396828.8401
79,257.21,6.477,1665949.17,1500234.1301000002
80,257.6,4.516,1163321.6000000003,1469358.4601000005
81,249.64,6.518,1627153.5199999998,1454263.7800999999
82,220.22,8.136,1791709.9199999997,1542291.9800999998
83,221.31,4.296,950747.7600000001,1317218.6201000002
84,237.07,4.442,1053064.94,1379429.6001000004
85,245.68,5.958,1463761.44,1404434.5000999998
86,233.91,6.685,1563688.3499999999,1367401.9101
87,242.2,7.544,1827156.7999999998,1577738.8601
88,245.79,5.555,1365363.4499999997,1400943.0100999998
89,242.14,4.52,1094472.7999999998,1399410.8601
90,222.87,6.164,1373770.68,1271375.5401
91,272.84,7.884,2151070.56,1901652.6201000004
92,254.94,5.749,1465650.06,1455542.6201000002
93,248.87,4.079,1015140.73,1441221.4901000003
94,236.11,8.412,1986157.3200000003,1736739.3801000004
95,213.0,11.042,2351946.0,2102528.0601000004
96,252.53,9.363,2364438.3899999997,2115020.4501
97,254.09,5.264,1337529.76,1444849.4201
98,257.26,6.686,1720040.3599999999,1523613.8201
99,252.64,5.257,1328128.4799999997,1437191.8401000001
100,226.24,7.195,1627796.8,1383868.8601000002
101,278.86,9.299,2593119.1399999997,2343701.2001
102,231.78,6.438,1492199.6400000001,1334374.3001
103,269.31,6.616,1781754.96,1595135.4201000002
104,254.86,5.353,1364265.58,1449415.3401
105,227.64,9.031,2055816.8399999999,1806398.9001
106,270.53,5.721,1547702.13,1544188.6901
107,238.52,4.663,1112218.7600000002,1377874.7201
108,246.02,5.304,1304890.08,1402245.7401
109,270.26,3.832,1035636.3199999998,1529567.9801000003
110,234.58,7.248,1700235.84,1455353.9001000002
111,255.23,3.99,1018367.7000000001,1468896.7601
112,230.92,6.525,1506753.0,1332882.5601000001
113,243.41,5.819,1416402.7899999998,1389810.3501
114,250.39,8.294,2076734.6600000001,1827316.7201000003
115,242.42,9.687,2348322.5399999996,2098904.6001
116,214.74,7.27,1561159.7999999998,1315881.8601
117,243.02,9.901,2406141.02,2156723.0801000004
118,246.87,10.438,2576829.06,2327411.1201000004
119,224.58,4.899,1100217.4200000002,1301044.1801000005
120,260.29,8.088,2105225.52,1855807.5801000001
121,261.59,3.091,808574.69,1506059.0500999999
122,244.73,7.568,1852116.6399999997,1602698.7000999998
123,233.87,4.98,1164672.6,1343248.6601000002
124,250.11,2.214,553743.54,1492139.8000999999
125,252.0,7.621,1920492.0000000002,1671074.0601000004
126,240.69,6.35,1528381.5,1388358.5601000001
127,272.24,2.209,601378.1600000001,1541147.9201
128,248.45,5.884,1461879.8,1419979.8601
129,270.26,5.254,1419946.0399999998,1529756.7001
130,244.81,4.709,1152810.2899999998,1405830.0501
131,258.61,6.502,1681482.2200000002,1510834.0801000004
132,243.48,6.531,1590167.88,1415456.8401000001
133,240.89,8.763,2110919.07,1861501.1301000002
134,258.39,8.659,2237399.0100000002,1987981.0701000008
135,254.98,6.877,1753497.4599999997,1530311.8201
136,252.88,6.408,1620455.04,1468698.7001
137,220.1,5.157,1135055.7,1269029.0601000004
138,244.32,7.886,1926707.52,1677289.5801000001
139,253.1,7.272,1840543.2000000002,1595229.2601000003
140,258.3,3.445,889843.5,1490084.0601
141,229.97,6.259,1439382.2300000002,1317768.5901000001
142,234.37,5.226,1224817.62,1341603.0801000001
143,232.01,9.252,2146556.52,1897138.5801000004
144,240.93,7.264,1750115.52,1504945.5801000001
145,252.65,3.851,972955.15,1461667.5101
146,260.36,6.12,1593403.2000000002,1499909.2601000003
147,252.67,5.477,1383873.5899999999,1438134.9501000002
148,252.33,10.047,2535159.5100000002,2285741.5701000006
149,265.09,5.99,1587889.0999999999,1521026.1601
150,260.92,7.051,1839746.9200000002,1598410.9801000003
151,229.98,6.275,1443124.5000000002,1318274.0601000004
152,252.65,5.555,1403470.75,1439050.3101000001
153,255.91,6.369,1629890.79,1486024.1501000002
154,263.94,8.398,2216568.12,1967150.1801000007
155,242.0,7.139,1727638.0000000002,1484718.0601000004
156,257.03,9.784,2514781.52,2265363.5801000004
157,243.55,6.753,1644693.1500000001,1438879.9101000002
158,249.31,5.919,1475665.89,1425523.4501
159,267.62,6.084,1628200.0799999998,1541988.9401
160,227.9,5.806,1323187.4000000001,1299656.4601000003
161,229.4,5.274,1209855.6,1314684.2601000003
162,234.1,8.005,1873970.5000000002,1624552.5601000004
163,250.01,4.893,1223298.93,1425773.8900999997
164,264.91,11.901,3152693.9100000006,2903275.970100001
165,243.81,6.775,1651812.75,1442917.3101000001
166,265.86,4.119,1095077.34,1510170.1001000004
167,247.51,8.608,2130566.08,1881148.1401000004
168,251.49,6.908,1737292.9200000002,1509764.1801000002
169,260.94,6.341,1654620.54,1516418.3001
170,261.58,2.287,598233.46,1516576.6201000002
171,208.59,7.395,1542523.05,1294995.1101000002
172,220.4,4.706,1037202.4000000001,1291046.2601
173,221.07,3.3,729531.0,1369603.0601
174,241.03,9.606,2315334.1799999997,2065916.2401000003
175,247.22,5.763,1424728.8599999999,1411324.4200999998
176,213.84,2.818,602601.12,1375078.5801000001
177,209.88,8.357,1753967.16,1504549.2201
178,230.23,5.397,1242551.31,1316740.6701000005
179,243.74,7.334,1787589.16,1541159.2201
180,240.82,6.909,1663825.38,1436156.5401
181,240.17,5.566,1336786.22,1369775.2801
182,240.31,7.446,1789348.26,1540902.3201000001
183,256.01,5.545,1419575.4499999997,1457510.0100999998
184,247.5,6.14,1519649.9999999998,1422110.0601
185,241.19,7.874,1899130.06,1649712.1201000002
186,238.3,7.912,1885429.6,1636011.6601000002
187,249.74,6.962,1738689.88,1503595.7401
188,254.51,8.978,2284990.78,2035572.8401000004
189,204.21,3.156,644486.76,1324115.6201
190,240.49,9.257,2226215.9299999997,1976797.9901000003
191,254.61,4.903,1248352.83,1448080.7901
192,243.19,4.121,1002185.9900000001,1416729.3501000002
193,226.04,7.136,1613021.44,1370155.5001
194,263.82,4.914,1296411.48,1493117.7401000003
195,232.62,3.786,880699.3200000001,1387267.1801
196,257.83,9.596,2474136.68,2224718.7401000005
197,239.56,5.493,1315903.08,1366178.8401
198,237.25,7.32,1736670.0,1490492.0601000001
199,254.63,6.638,1690233.94,1500532.2001
200,233.63,3.107,725888.41,1418977.5701
201,215.61,7.223,1557351.03,1312919.0901000001
202,270.75,5.429,1469901.75,1536119.9101
203,255.46,4.645,1186611.7,1457212.2601
204,232.31,7.082,1645219.42,1403325.4801
205,255.57,6.399,1635392.43,1485456.7901
206,256.37,7.041,1805101.1700000002,1563945.2301000003
207,244.26,8.546,2087445.9599999995,1838028.0200999996
208,257.72,5.98,1541165.6000000003,1476657.6601000004
209,236.53,3.185,753348.05,1425010.6101000002
210,258.31,4.872,1258486.32,1466729.9801000005
211,261.47,6.17,1613269.9000000001,1509660.9601000003
212,222.31,7.705,1712898.55,1463480.6101000002
213,255.87,7.843,2006788.4100000001,1757370.4701000003
214,253.02,7.896,1997845.92,1748427.9801
215,263.87,5.741,1514877.67,1506654.2301000003
216,263.51,8.099,2134167.4899999998,1884749.5501
217,237.77,6.807,1618500.3900000001,1405121.7501000003
218,262.19,5.54,1452532.6,1491644.6601000002
219,253.4,4.268,1081511.2,1455673.6600999997
220,260.31,5.795,1508496.4500000002,1487556.0101000003
221,250.51,7.262,1819203.6199999999,1574069.6801
222,242.12,8.586,2078842.3200000003,1829424.3801000004
223,263.13,4.424,1164087.12,1495396.3801000004
224,244.98,6.827,1672478.4599999997,1456297.8201
225,244.5,5.892,1440594.0,1396810.0601000004
226,254.1,7.839,1991889.9000000001,1742471.9601000003
227,257.47,10.729,2762395.63,2512977.6901000002
228,257.16,5.879,1511843.6400000001,1471121.2001000002
229,222.46,6.839,1521403.9400000002,1303542.1001000002
