,yield [thousands of bushels],price [$/bushel],total,expected_income_options
0,212.74,4.138,880318.12,1226297.2379
1,246.99,9.892,2443225.08,1371137.0379000003
2,212.48,5.992,1273180.16,1206243.1679
3,250.84,12.899,3235585.1599999997,1418578.8179
4,254.08,6.977,1772716.1600000001,1775005.8079
5,265.75,6.385,1696813.75,1488816.2079
6,256.32,4.285,1098331.2000000002,1471423.6379000002
7,220.32,9.302,2049416.64,1254594.6079000002
8,251.42,7.112,1788099.0399999998,1405415.3679
9,244.37,10.088,2465204.5599999996,1380203.5679000001
10,250.98,10.757,2699791.86,1388017.1279000002
11,275.07,5.419,1490604.3299999998,1510410.3879
12,225.68,3.911,882634.4800000001,1244128.1979
13,250.48,6.267,1569758.1600000001,1401998.1278999997
14,250.81,8.066,2023033.4600000002,1419912.8478999997
15,255.56,3.716,949660.9600000001,1412241.2679000003
16,222.18,7.507,1667905.26,1225312.0779
17,259.13,12.019,3114483.47,1531464.6979000003
18,252.07,9.492,2392648.44,2341887.8479
19,253.93,5.173,1313579.89,1582691.3079
20,244.26,8.946,2185149.96,1387464.7878999999
21,246.32,8.927,2198898.6399999997,1638084.1279
22,256.12,8.943,2290481.1599999997,1955365.3779000004
23,256.8,5.733,1472234.4000000001,1472277.9279
24,241.82,5.766,1394334.1199999999,1437981.9779
25,258.34,4.248,1097428.32,1598715.3779000002
26,264.84,10.825,2866892.9999999995,1455115.0679
27,258.43,6.299,1627850.57,2396728.9379000003
28,271.46,12.406,3367732.76,1515241.5979
29,232.36,6.864,1594919.04,1304634.0079000003
30,259.8,5.911,1535677.8,2028454.9679000003
31,257.04,8.185,2103872.4000000004,1501138.0679000001
32,230.06,9.262,2130815.72,1318976.5479
33,264.17,1.137,300361.29,1459081.3479000002
34,225.32,10.273,2314712.36,2186318.2478999994
35,263.71,3.93,1036380.3,1617605.6479
36,246.72,3.985,983179.2,1354668.8078999997
37,231.59,2.953,683885.27,1364441.5679000004
38,246.02,1.933,475556.66000000003,1409633.6779
39,210.52,7.204,1516586.08,1846407.7678999999
40,242.17,6.907,1672668.19,1481580.9378999998
41,271.88,4.151,1128573.88,1490612.9279000002
42,221.38,7.51,1662563.7999999998,1416755.6979
43,239.87,9.965,2390304.55,1384390.5679000001
44,247.86,6.488,1608115.6800000002,1368228.4279
45,254.05,3.47,881553.5000000001,1435085.0278999999
46,253.63,2.872,728425.36,1699111.5078999999
47,243.37,6.021,1465330.77,1342183.5579000001
48,251.56,2.275,572299.0,1421203.6779
49,258.08,5.832,1505122.5599999998,1424267.2678999996
50,226.66,9.275,2102271.5,1245623.3779
51,267.78,10.527,2818920.0599999996,1845147.9479000005
52,260.74,5.763,1502644.62,1554061.1879
53,232.28,10.342,2402239.76,1773414.1579
54,227.45,11.296,2569275.1999999997,1245449.4878999996
55,238.27,0.803,191330.81000000003,1428400.5879
56,260.9,1.802,470141.8,1430057.1779
57,226.16,6.221,1406941.36,2302508.1779
58,234.95,3.481,817860.9499999998,1461503.4279
59,246.56,9.381,2312979.3600000003,1964260.5279000003
60,257.26,7.909,2034669.3399999999,1593458.4279
61,252.64,1.24,313273.6,1402482.8879
62,225.69,12.391,2796524.79,1521777.8479
63,265.02,0.487,129064.74,1954645.4779
64,237.27,6.333,1502630.9100000001,1602869.2278999998
65,246.41,7.33,1806185.3,1817630.0878999997
66,260.87,8.664,2260177.6799999997,1461384.1079000002
67,229.75,5.503,1264314.2500000002,1267510.8279
68,253.08,1.638,414545.04,1409731.5478999994
69,226.4,7.551,1709546.4000000001,1876313.1479
70,236.55,6.486,1534263.3,1391160.3579
71,244.98,5.22,1278795.5999999999,1615521.5678999997
72,243.87,5.513,1344455.31,1328827.4979
73,259.19,6.59,1708062.0999999999,1432798.8279
74,251.28,2.638,662876.6399999999,1370191.0278999999
75,234.79,7.21,1692835.9000000001,1823066.6179
76,225.52,4.709,1061973.6800000002,1239548.4478999998
77,226.99,3.625,822838.75,1253466.3279
78,243.95,2.844,693793.7999999999,1476586.4279000002
79,256.46,6.93,1777267.7999999998,1698389.1279
80,257.17,11.131,2862559.27,1645351.8079000001
81,247.88,5.183,1284762.0399999998,1413094.0578999997
82,219.37,1.425,312602.25,1212100.5679
83,220.54,4.704,1037420.1599999999,1256816.7179000005
84,236.82,2.844,673516.08,1305052.3879000002
85,243.15,8.238,2003069.7,1354281.0279
86,232.76,10.768,2506359.68,1634617.3579
87,243.41,2.449,596111.09,1495329.0779
88,245.08,10.515,2577016.2000000007,1416712.1279
89,241.88,5.8,1402904.0,1458483.6779
90,222.97,4.746,1058215.62,1346230.0879
91,272.12,8.271,2250704.52,2025936.5579000001
92,254.4,12.326,3135734.4000000004,1626100.6979
93,248.06,9.746,2417592.76,1463917.1879
94,235.79,6.986,1647228.94,1934903.2779000003
95,213.16,12.116,2582646.5599999996,1222671.4578999998
96,252.78,6.443,1628661.5399999998,1391627.9279000002
97,254.07,0.79,200715.30000000002,1567793.4279
98,257.37,2.67,687177.9,1594445.3279000001
99,255.17,12.927,3298582.5899999994,1413148.1279
100,226.95,7.225,1639713.75,1237897.7278999998
101,277.88,10.206,2836043.28,2333490.9278999995
